Timestamp (UTC-5),AirTC_Avg,BattV,BP_mbar_Avg,CS320_Angle_Avg,CS320_Temp_Avg,DewPtC_Avg,EC_Avg,P_Avg,PA_Avg,PTemp_C,Rain_mm_Tot,Raw_mV_Avg,RH,SlrMJ_Tot,SlrW_Avg,T_Avg,VR_Avg,VWC_Avg,WindDir,WS_ms_Avg,Timestamp (EST),hour,G,ET_ref,Month,Year
2025-06-02 06:00:00+00:00,16.43152,13.44,1008.466,1.233883,17.9822,15.50233,0.0271,6.777599,1.3767,17.29,0.0,4.759183,93.75362,5.35083,123.8618,17.4193,1.0336,0.121,246.3,0.4630092,2025-06-02 02:00:00-04:00,2,2.675415,0.6585456557607693,June,2025
2025-06-02 05:00:00+00:00,15.29389,12.89,1007.963,1.219883,16.84608,14.30921,0.0268,6.7795,1.3767,14.56,0.0,0.5749667,94.07495,0.6463965,14.96288,17.2166,1.0332,0.121,245.2,0.09648916,2025-06-02 01:00:00-04:00,1,0.32319825,0.08650532764935076,June,2025
2025-06-02 04:00:00+00:00,15.51789,12.77,1007.448,1.2119,17.03268,14.43654,0.0273,6.8074,1.3778,14.47,0.0,-0.08024999,93.48953,-0.09027503,-2.0897,17.5178,1.0338,0.1216,1.342,0.03054333,2025-06-02 00:00:00-04:00,0,-0.045137515,-0.005642487301425149,June,2025
2025-06-02 03:00:00+00:00,15.79396,12.82,1007.221,1.227433,17.16805,14.63341,0.027,6.809,1.3778,14.73,0.0,-0.07659999,92.84059,-0.08616096,-1.994467,17.8026,1.0334,0.1217,240.7,0.01434611,2025-06-01 23:00:00-04:00,23,-0.04308048,-0.007522694242041059,June,2025
2025-06-02 02:00:00+00:00,16.31625,12.85,1006.884,1.208367,17.66165,15.08773,0.0276,6.805699,1.3778,15.24,0.0,-0.08001667,92.64089,-0.08997911,-2.08285,18.1009,1.0341,0.1216,241.0,0.09010283,2025-06-01 22:00:00-04:00,22,-0.044989555,0.0055349262754894974,June,2025
2025-06-02 01:00:00+00:00,16.75308,12.89,1007.039,1.243083,17.97743,15.42606,0.0275,6.8063,1.3778,15.64,0.0,-0.07966666,92.05824,-0.08956655,-2.0733,18.4975,1.034,0.1216,240.8,0.3389384,2025-06-01 21:00:00-04:00,21,-0.044783275,0.0533179189157774,June,2025
2025-06-02 00:00:00+00:00,17.2409,12.86,1007.099,1.235333,18.2921,15.76249,0.0277,6.8053,1.3778,16.15,0.0,-0.07781667,91.14543,-0.08750159,-2.0255,19.2496,1.0342,0.1216,231.3,0.1999663,2025-06-01 20:00:00-04:00,20,-0.043750795,0.03289777626922234,June,2025
2025-06-01 23:00:00+00:00,17.62023,12.93,1007.023,1.2214,18.49655,15.92909,0.0475,8.6356,1.4456,16.6,0.0,-0.07844999,90.37257,-0.0882,-2.041667,19.9744,1.0583,0.1609,340.1,0.05382105,2025-06-01 19:00:00-04:00,19,-0.0441,0.002388112507389633,June,2025
2025-06-01 22:00:00+00:00,18.28708,12.93,1006.802,1.228233,18.82058,16.28837,0.0484,8.6311,1.4456,17.23,0.0,-0.07578333,88.93075,-0.08513711,-1.970767,20.4916,1.0594,0.1608,340.0,0.01767811,2025-06-01 18:00:00-04:00,18,-0.042568555,-0.005435903265679681,June,2025
2025-06-01 21:00:00+00:00,19.15111,12.93,1005.96,1.245817,19.25033,16.71097,0.0484,8.6313,1.4456,18.16,0.0,-0.07023333,86.86705,-0.07902935,-1.829383,21.0832,1.0594,0.1608,339.7,0.0,2025-06-01 17:00:00-04:00,17,-0.007902935,-0.01785066251982413,June,2025
2025-06-01 20:00:00+00:00,20.35715,13.0,1005.123,1.214617,19.61543,17.08397,0.049,8.6283,1.4456,19.43,0.0,-0.06301666,84.2392,-0.07082927,-1.639567,22.0956,1.0601,0.1608,340.7,0.004998,2025-06-01 16:00:00-04:00,16,-0.007082927,-0.014263042579100826,June,2025
2025-06-01 19:00:00+00:00,22.48406,13.03,1005.066,1.241717,20.38045,17.53755,0.0499,8.6239,1.4456,21.75,0.0,0.2476,78.17815,0.2783887,6.444183,23.8402,1.0613,0.1607,259.6,0.06071644,2025-06-01 15:00:00-04:00,15,0.02783887,0.10411377641089847,June,2025
2025-06-01 18:00:00+00:00,25.28426,13.39,1004.572,1.279783,24.82288,17.38606,0.0502,8.622799,1.4456,25.59,0.0,3.16745,69.51064,3.561296,82.43739,25.647,1.0615,0.1606,244.3,0.9378192,2025-06-01 14:00:00-04:00,14,0.35612960000000005,1.6052120920866015,June,2025
2025-06-01 17:00:00+00:00,26.69093,13.55,1004.699,1.249083,28.54198,16.35724,0.0504,8.6217,1.4456,28.63,0.0,8.921149,55.30047,10.03027,232.1822,27.02,1.0618,0.1606,235.1,1.3471,2025-06-01 13:00:00-04:00,13,1.0030270000000001,3.9324245466112497,June,2025
2025-06-01 16:00:00+00:00,27.32719,13.51,1004.532,1.27545,30.10571,15.48666,0.0507,8.6542,1.4468,29.78,0.0,13.06492,49.75765,14.68918,340.0273,29.0263,1.0622,0.1613,248.0,2.331243,2025-06-01 12:00:00-04:00,12,1.4689180000000002,6.116777429971014,June,2025
2025-06-01 15:00:00+00:00,27.82465,13.51,1004.798,1.279083,32.66328,15.53517,0.05139999,8.6847,1.4479,30.98,0.0,21.47348,47.47446,24.14314,558.8691,30.1959,1.0631,0.1619,259.9,2.462348,2025-06-01 11:00:00-04:00,11,2.414314,8.45214840631186,June,2025
